Date,canary_momentum,risk_on,selected_offensive_asset,selected_defensive_asset,target_asset,target_asset_momentum
2011-02-28,0.019051000229295234,1,XLE,XLP,XLE,0.3256672414727209
2011-03-31,0.0309193047310235,1,XLE,XLP,XLE,0.2587833058519267
2011-04-30,0.039302779427298484,1,XLE,XLV,XLE,0.21213315320628595
2011-05-31,0.03808226949291299,1,XLE,XLV,XLE,0.1652104284871557
2011-06-30,0.04239432395274906,1,XLE,XLV,XLE,0.14554851023748414
2011-07-31,0.07547049123535787,1,XLE,XLV,XLE,0.11586817403560912
2011-08-31,0.06454855497424816,1,XLY,XLU,XLY,0.02605185495903445
2011-09-30,0.05550474752128576,1,XLK,XLU,XLK,-0.03894752613372879
2011-10-31,0.05421025835663307,1,XLY,XLU,XLY,0.05011801581118491
2011-11-30,0.05689557027216552,1,XLE,XLU,XLE,0.031732747868719074
2011-12-31,0.05923745235146244,1,XLY,XLU,XLY,0.04455810551999914
2012-01-31,0.06735593856544736,1,XLY,XLV,XLY,0.07628909016015206
2012-02-29,0.05041866396280595,1,XLK,XLP,XLK,0.12681110744236734
2012-03-31,0.03909723959139044,1,XLK,XLV,XLK,0.17423636542331478
2012-04-30,0.04211954035521698,1,XLY,XLP,XLY,0.11018887814604317
2012-05-31,0.05721111215553204,1,XLY,XLU,XLY,0.037791083389399016
2012-06-30,0.04498832087377869,1,XLK,XLU,XLK,0.06522446175144195
2012-07-31,0.043851418021540134,1,XLK,XLU,XLK,0.06118955237251589
2012-08-31,0.03174609091450936,1,XLK,XLV,XLK,0.11633049791990596
2012-09-30,0.04163683334087359,1,XLY,XLV,XLY,0.1280000802213221
2012-10-31,0.032227274745584455,1,XLF,XLV,XLF,0.08712049869295624
2012-11-30,0.03064467749823302,1,XLY,XLV,XLY,0.1089689983098232
2012-12-31,0.02078371688502964,1,XLF,XLV,XLF,0.12994548089692548
2013-01-31,0.005672887847957414,1,XLF,XLV,XLF,0.15432936676064296
2013-02-28,0.009636106030168567,1,XLF,XLV,XLF,0.13036162437264892
2013-03-31,0.014363407980483023,1,XLF,XLV,XLF,0.12674623182633799
2013-04-30,0.016945921466382963,1,XLY,XLV,XLY,0.13416698739524374
2013-05-31,-0.03416267067386078,0,XLF,XLV,XLV,0.17338416596006923
2013-06-30,-0.05780385538200472,0,XLF,XLV,XLV,0.12903770305481602
2013-07-31,-0.04446716372949397,0,XLF,XLV,XLV,0.17718661804755026
2013-08-31,-0.054008423867656724,0,XLY,XLV,XLV,0.10676550099323034
2013-09-30,-0.02487171240272404,0,XLY,XLV,XLV,0.12346982693000697
2013-10-31,-0.03149179044087608,0,XLY,XLV,XLV,0.13723042408190378
2013-11-30,-0.029155954485102248,0,XLY,XLV,XLV,0.18294609558406139
2013-12-31,-0.03369703446376979,0,XLI,XLV,XLV,0.1739857383629701
2014-01-31,-0.011567177611414875,0,XLI,XLV,XLV,0.12666207924674827
2014-02-28,-0.005644661239334298,0,XLY,XLV,XLV,0.18785599264220182
2014-03-31,-0.013204114231317898,0,XLF,XLV,XLV,0.12617820455036044
2014-04-30,-0.006872630839007271,0,XLE,XLV,XLV,0.09840873480612528
2014-05-31,0.021742893635285476,1,XLE,XLV,XLE,0.10733178208799798
2014-06-30,0.035641250594427465,1,XLE,XLU,XLE,0.1571979345382834
2014-07-31,0.022616803646166056,1,XLK,XLV,XLK,0.11853426522739335
2014-08-31,0.02771607255885805,1,XLK,XLV,XLK,0.13193212517554503
2014-09-30,-0.0044385972292032005,0,XLK,XLV,XLV,0.11040624509147529
2014-10-31,0.007093745337133417,1,XLK,XLV,XLK,0.10222812646457718
2014-11-30,0.0027010020303742943,1,XLK,XLV,XLK,0.12206286400567312
2014-12-31,0.0011112929765602075,1,XLF,XLU,XLF,0.08490096349097004
2015-01-31,0.02860365412711019,1,XLY,XLU,XLY,0.05047475538436377
2015-02-28,0.004340465069431726,1,XLY,XLV,XLY,0.10308375983955209
2015-03-31,0.013322900817320987,1,XLY,XLV,XLY,0.09051534748143106
2015-04-30,0.007755977495610689,1,XLY,XLV,XLY,0.09740175117921451
2015-05-31,-0.0062276115693097045,0,XLY,XLV,XLV,0.10992368064821384
2015-06-30,-0.011009917501455135,0,XLY,XLV,XLV,0.08997344157914072
2015-07-31,-0.012452741518523408,0,XLY,XLV,XLV,0.12209717201511916
2015-08-31,-0.019005553011614967,0,XLY,SHY,SHY,0.0025295229292023047
2015-09-30,-0.011630359086436254,0,XLY,XLU,XLU,0.03524705679014767
2015-10-31,-0.012545203967646912,0,XLY,XLP,XLP,0.0487543624764043
2015-11-30,-0.010274191769902491,0,XLY,XLP,XLP,0.02414939188650675
2015-12-31,-0.013527385596270675,0,XLK,XLP,XLP,0.06278467146943306
2016-01-31,-0.005382103477400452,0,XLK,XLP,XLP,0.0345949691589475
2016-02-29,0.00875924230415076,1,XLI,XLU,XLI,-0.011446399706621174
2016-03-31,0.027690881212315,1,XLK,XLU,XLK,0.08864986206110737
2016-04-30,0.019137702986145644,1,XLI,XLU,XLI,0.05488922852779532
2016-05-31,0.011878366072736402,1,XLK,XLU,XLK,0.046705964808285816
2016-06-30,0.03740283204110256,1,XLE,XLU,XLE,0.05489249197692289
2016-07-31,0.032303056703840205,1,XLK,XLU,XLK,0.1071824786587467
2016-08-31,0.02815612375454235,1,XLK,XLP,XLK,0.10735921628569911
2016-09-30,0.02816330980990328,1,XLK,XLV,XLK,0.1117361989466682
2016-10-31,0.017814298893249564,1,XLK,XLU,XLK,0.06513542095517721
2016-11-30,0.0008894110048139892,1,XLF,XLU,XLF,0.15111971388278633
2016-12-31,0.0009467498571498756,1,XLF,XLU,XLF,0.18388743904092164
2017-01-31,0.005665092265376065,1,XLF,XLU,XLF,0.18999283736373052
2017-02-28,0.010511949171823576,1,XLF,XLU,XLF,0.2123323085788532
2017-03-31,0.0035055275951657305,1,XLF,XLV,XLF,0.13909167713924098
2017-04-30,0.006583772013259909,1,XLK,XLV,XLK,0.144897227834076
2017-05-31,0.010936280250521874,1,XLK,XLU,XLK,0.1562473527968008
2017-06-30,-0.0032040239878412813,0,XLF,XLV,XLV,0.09907855132694299
2017-07-31,-0.0013683965819880906,0,XLK,XLV,XLV,0.07283822771234899
2017-08-31,0.007748718730003823,1,XLK,XLV,XLK,0.11985448913366359
2017-09-30,-0.001574317742791126,0,XLF,XLV,XLV,0.07578491550654776
2017-10-31,0.001603723217694114,1,XLK,XLU,XLK,0.1713679260721624
2017-11-30,0.00467260884345419,1,XLK,XLV,XLK,0.15163516860465803
2017-12-31,0.017946669269614912,1,XLK,XLV,XLK,0.15283639779657765
2018-01-31,0.00296301433218793,1,XLK,XLV,XLK,0.188937256721267
2018-02-28,-0.009099589908260042,0,XLK,XLV,XLV,0.03734608873371109
2018-03-31,0.0029595778537939155,1,XLK,XLV,XLK,0.0870978288530721
2018-04-30,-0.00047209279980608976,0,XLE,XLV,XLV,0.018879699976778214
2018-05-31,0.0056473225872221144,1,XLE,XLV,XLE,0.12347850665597909
2018-06-30,0.008657596651725025,1,XLY,XLV,XLY,0.11664379357960375
2018-07-31,0.0029700693632580266,1,XLK,XLV,XLK,0.10232021606354058
2018-08-31,0.0099733001115071,1,XLY,XLV,XLY,0.15263972361501693
2018-09-30,-0.003790839296317988,0,XLY,XLV,XLV,0.13344242903686615
2018-10-31,-0.015487202828345037,0,XLK,XLP,XLP,0.056519515409764465
2018-11-30,-0.009559560747725265,0,XLY,XLV,XLV,0.11409320029268555
2018-12-31,-0.006989519888669998,0,XLY,SHY,SHY,0.012413485981524475
2019-01-31,0.013183394246753855,1,XLY,XLU,XLY,0.03525540889049386
2019-02-28,0.007696876978109196,1,XLI,XLU,XLI,0.03467470133256456
2019-03-31,0.026564116458834164,1,XLK,XLU,XLK,0.09573042761053668
2019-04-30,0.02456017277233552,1,XLK,XLU,XLK,0.15484309028643128
2019-05-31,0.040266903230166184,1,XLK,XLU,XLK,0.010199921813714152
2019-06-30,0.035473559039607416,1,XLK,XLP,XLK,0.13877122508195017
2019-07-31,0.03395759964424733,1,XLK,XLP,XLK,0.11178534546614327
2019-08-31,0.05145365797218826,1,XLK,XLU,XLK,0.07302595813822493
2019-09-30,0.029604205167266584,1,XLK,XLU,XLK,0.05766333336732582
2019-10-31,0.034826464228911475,1,XLK,XLU,XLK,0.09320942915426894
2019-11-30,0.026361260298334327,1,XLK,XLV,XLK,0.17907011785672167
2019-12-31,0.028614895136276075,1,XLK,XLV,XLK,0.2164923695051562
2020-01-31,0.045071436775663165,1,XLK,XLU,XLK,0.20702263209784733
2020-02-29,0.043058430851916074,1,XLK,SHY,XLK,0.07861765319343758
2020-03-31,0.01915079702691394,1,XLK,SHY,XLK,-0.023841076834960284
2020-04-30,0.04856226384278295,1,XLK,XLV,XLK,0.09551768337710609
2020-05-31,0.039914810877363205,1,XLK,XLV,XLK,0.17260596127973266
2020-06-30,0.050170370377323914,1,XLK,XLV,XLK,0.22009897083696844
2020-07-31,0.057649585028560046,1,XLK,XLV,XLK,0.20571290964876388
2020-08-31,0.050702933922516846,1,XLK,XLV,XLK,0.3421444680450574
2020-09-30,0.04974957659863502,1,XLK,XLV,XLK,0.24849479784684564
2020-10-31,0.030001740099131202,1,XLK,XLU,XLK,0.12944246538718668
2020-11-30,0.039415009407907375,1,XLK,XLP,XLK,0.2004288067803326
2020-12-31,0.04519762383146875,1,XLK,XLV,XLK,0.21458222042879282
2021-01-31,0.03520167450948336,1,XLK,XLV,XLK,0.1749080817559947
2021-02-28,0.009404287400230388,1,XLE,XLV,XLE,0.2694005187995294
2021-03-31,0.013940603310410332,1,XLE,XLV,XLE,0.44885776813792205
2021-04-30,0.022144505829832933,1,XLF,XLV,XLF,0.3708494487489219
2021-05-31,0.028506480170655157,1,XLF,XLV,XLF,0.3157488574862163
2021-06-30,0.028661689170913163,1,XLE,XLV,XLE,0.2748618292215734
2021-07-31,0.043713793448112326,1,XLF,XLV,XLF,0.20696666894724053
2021-08-31,0.03478858158377496,1,XLF,XLV,XLF,0.206700491248818
2021-09-30,0.026960012972667008,1,XLE,XLV,XLE,0.24373034977967242
2021-10-31,0.03169238725704815,1,XLE,XLV,XLE,0.39155059924917873
2021-11-30,0.03234796791670641,1,XLE,XLV,XLE,0.17891556896631028
2021-12-31,0.03154735212433474,1,XLK,XLV,XLK,0.18208366936240533
2022-01-31,-0.00076127882941876,0,XLE,XLP,XLP,0.08758876192130355
2022-02-28,0.015714794771165802,1,XLE,XLP,XLE,0.35243960956657194
2022-03-31,-0.003791872272594643,0,XLE,XLU,XLU,0.13277890539005155
2022-04-30,-0.02222541981214607,0,XLE,XLP,XLP,0.07370064513181712
2022-05-31,-0.0331153906482462,0,XLE,XLU,XLU,0.11661290915345324
2022-06-30,-0.05906802375767309,0,XLE,XLU,XLU,0.009379809752376927
2022-07-31,-0.006381416372922832,0,XLE,XLU,XLU,0.08480951480642607
2022-08-31,-0.04290919146806596,0,XLE,XLU,XLU,0.060389645026308114
2022-09-30,-0.08778263356917179,0,XLE,SHY,SHY,-0.024940234215052537
2022-10-31,-0.06509858403684277,0,XLE,XLV,XLV,0.034287375360888994
2022-11-30,-0.04464768808933564,0,XLE,XLV,XLV,0.07848232259750432
2022-12-31,-0.037970785706175125,0,XLE,XLV,XLV,0.038675989107108566
2023-01-31,-0.023742757570965417,0,XLE,XLV,XLV,0.009463769923612697
2023-02-28,-0.0420673424165072,0,XLE,SHY,SHY,-0.010256637948764191
2023-03-31,0.014425893061974254,1,XLK,XLP,XLK,0.14060653070883156
2023-04-30,0.004052433034275299,1,XLK,XLP,XLK,0.09339625658662057
2023-05-31,-0.006900780472597207,0,XLK,SHY,SHY,0.006693887725267383
2023-06-30,-0.0033224282012596085,0,XLK,XLV,XLV,0.027191779726380566
2023-07-31,-0.01755497729916214,0,XLK,XLP,XLP,0.02227791145244873
2023-08-31,-0.012774949802740215,0,XLK,XLV,XLV,0.04508208350776888
2023-09-30,-0.018708055325365652,0,XLE,SHY,SHY,0.007185561228504889
2023-10-31,-0.02478937686175592,0,XLK,SHY,SHY,0.009685758715429205
2023-11-30,0.004558673808732816,1,XLK,SHY,XLK,0.17293907002632797
2023-12-31,0.03120826154094658,1,XLK,XLV,XLK,0.22266778552367095
2024-01-31,0.0250614638494856,1,XLK,XLV,XLK,0.2036836481483193
2024-02-29,0.011962341554898975,1,XLK,XLV,XLK,0.22000995874420876
2024-03-31,0.012890321158981616,1,XLF,XLV,XLF,0.1967040280032209
2024-04-30,-0.0049017370107780345,0,XLI,XLU,XLU,0.06257603779549231
2024-05-31,0.015642609617449788,1,XLF,XLU,XLF,0.143063328018653
2024-06-30,0.012006403282507072,1,XLK,XLV,XLK,0.16429320036224382
2024-07-31,0.030999182753432886,1,XLF,XLU,XLF,0.13715837390273722
2024-08-31,0.035170703798367065,1,XLF,XLU,XLF,0.16113910138866022
2024-09-30,0.05022014668132646,1,XLI,XLU,XLI,0.14686992070384186
2024-10-31,0.02919981972694996,1,XLF,XLU,XLF,0.17809488156225384
2024-11-30,0.02501558203941684,1,XLF,XLU,XLF,0.23173056632796907
2024-12-31,-0.005521772740329417,0,XLY,XLU,XLU,0.05643177769595892
2025-01-31,0.011870430774831908,1,XLY,XLU,XLY,0.20728450118563668
2025-02-28,0.02967345502280183,1,XLF,XLU,XLF,0.12453234475740088
2025-03-31,0.030212373270064596,1,XLF,XLU,XLF,0.07529330510395044
2025-04-30,0.035607617643515554,1,XLF,XLU,XLF,0.05350085409942068
2025-05-31,0.017393853867494757,1,XLI,XLU,XLI,0.07817161402474576
2025-06-30,0.02930527702521829,1,XLK,XLU,XLK,0.13668640608539645
2025-07-31,0.018712890066494736,1,XLK,XLU,XLK,0.16056101976838583
2025-08-31,0.029102639239744266,1,XLK,XLU,XLK,0.12609870735253165
2025-09-30,0.02137987018739057,1,XLK,XLU,XLK,0.20383559311346638
2025-10-31,0.028158076386265773,1,XLK,XLU,XLK,0.2526048403995578
2025-11-30,0.025833767230084792,1,XLK,XLV,XLK,0.1298535990128786
2025-12-31,0.020074470809298195,1,XLK,XLV,XLK,0.10424311303374856
