Date,canary_momentum,risk_on,offensive_rank_1,offensive_rank_2,defensive_asset
2009-01-31,-0.001517146299499006,0,XLE,XLK,SHY
2009-02-28,-0.03076355743452111,0,XLK,XLY,SHY
2009-03-31,0.026089222010112212,1,XLK,XLY,SHY
2009-04-30,0.018806335016970238,1,XLY,XLK,SHY
2009-05-31,0.04686465853955918,1,XLF,XLY,SHY
2009-06-30,0.00781033131563541,1,XLK,XLY,SHY
2009-07-31,0.014409949488371043,1,XLK,XLY,SHY
2009-08-31,0.02162855559277574,1,XLF,XLY,SHY
2009-09-30,0.03500537846383922,1,XLF,XLY,SHY
2009-10-31,0.06980037023288216,1,XLK,XLE,SHY
2009-11-30,0.08662174636271092,1,XLK,XLY,SHY
2009-12-31,0.03368861875538717,1,XLK,XLY,SHY
2010-01-31,0.05176444531033064,1,XLY,XLF,SHY
2010-02-28,0.031360355170162335,1,XLY,XLF,SHY
2010-03-31,0.019067737712279403,1,XLI,XLF,SHY
2010-04-30,0.042822133208140156,1,XLY,XLI,SHY
2010-05-31,0.029419951232037334,1,XLY,XLI,SHY
2010-06-30,0.047027506954777476,1,XLI,XLY,SHY
2010-07-31,0.030769884315123786,1,XLI,XLY,SHY
2010-08-31,0.05204338585847962,1,XLY,XLI,SHY
2010-09-30,0.04665037888521684,1,XLY,XLI,SHY
2010-10-31,0.0613183658960747,1,XLY,XLK,SHY
2010-11-30,0.024468217334123382,1,XLY,XLE,SHY
2010-12-31,0.01476018938128082,1,XLE,XLI,SHY
2011-01-31,0.009040777739369954,1,XLE,XLI,SHY
2011-02-28,0.019051000229295234,1,XLE,XLI,SHY
2011-03-31,0.0309193047310235,1,XLE,XLI,SHY
2011-04-30,0.039302779427298484,1,XLE,XLI,SHY
2011-05-31,0.03808226949291299,1,XLE,XLI,SHY
2011-06-30,0.04239432395274906,1,XLE,XLY,SHY
2011-07-31,0.07547049123535787,1,XLE,XLY,SHY
2011-08-31,0.06454855497424816,1,XLY,XLE,SHY
2011-09-30,0.05550474752128576,1,XLK,XLY,SHY
2011-10-31,0.05421025835663307,1,XLY,XLK,SHY
2011-11-30,0.05689557027216552,1,XLE,XLK,SHY
2011-12-31,0.05923745235146244,1,XLY,XLE,SHY
2012-01-31,0.06735593856544736,1,XLY,XLI,SHY
2012-02-29,0.05041866396280595,1,XLK,XLY,SHY
2012-03-31,0.03909723959139044,1,XLK,XLY,SHY
2012-04-30,0.04211954035521698,1,XLY,XLK,SHY
2012-05-31,0.05721111215553204,1,XLY,XLK,SHY
2012-06-30,0.04498832087377869,1,XLK,XLY,SHY
2012-07-31,0.043851418021540134,1,XLK,XLY,SHY
2012-08-31,0.03174609091450936,1,XLK,XLY,SHY
2012-09-30,0.04163683334087359,1,XLY,XLE,SHY
2012-10-31,0.032227274745584455,1,XLF,XLY,SHY
2012-11-30,0.03064467749823302,1,XLY,XLF,SHY
2012-12-31,0.02078371688502964,1,XLF,XLY,SHY
2013-01-31,0.005672887847957414,1,XLF,XLY,SHY
2013-02-28,0.009636106030168567,1,XLF,XLY,SHY
2013-03-31,0.014363407980483023,1,XLF,XLY,SHY
2013-04-30,0.016945921466382963,1,XLY,XLF,SHY
2013-05-31,-0.03416267067386078,0,XLF,XLY,SHY
2013-06-30,-0.05780385538200472,0,XLF,XLY,SHY
2013-07-31,-0.04446716372949397,0,XLF,XLY,SHY
2013-08-31,-0.054008423867656724,0,XLY,XLF,SHY
2013-09-30,-0.02487171240272404,0,XLY,XLI,SHY
2013-10-31,-0.03149179044087608,0,XLY,XLI,SHY
2013-11-30,-0.029155954485102248,0,XLY,XLI,SHY
2013-12-31,-0.03369703446376979,0,XLI,XLY,SHY
2014-01-31,-0.011567177611414875,0,XLI,XLK,SHY
2014-02-28,-0.005644661239334298,0,XLY,XLI,SHY
2014-03-31,-0.013204114231317898,0,XLF,XLI,SHY
2014-04-30,-0.006872630839007271,0,XLE,XLI,SHY
2014-05-31,0.021742893635285476,1,XLE,XLI,SHY
2014-06-30,0.035641250594427465,1,XLE,XLK,SHY
2014-07-31,0.022616803646166056,1,XLK,XLE,SHY
2014-08-31,0.02771607255885805,1,XLK,XLE,SHY
2014-09-30,-0.0044385972292032005,0,XLK,XLF,SHY
2014-10-31,0.007093745337133417,1,XLK,XLF,SHY
2014-11-30,0.0027010020303742943,1,XLK,XLF,SHY
2014-12-31,0.0011112929765602075,1,XLF,XLK,SHY
2015-01-31,0.02860365412711019,1,XLY,XLK,SHY
2015-02-28,0.004340465069431726,1,XLY,XLK,SHY
2015-03-31,0.013322900817320987,1,XLY,XLK,SHY
2015-04-30,0.007755977495610689,1,XLY,XLK,SHY
2015-05-31,-0.0062276115693097045,0,XLY,XLK,SHY
2015-06-30,-0.011009917501455135,0,XLY,XLF,SHY
2015-07-31,-0.012452741518523408,0,XLY,XLF,SHY
2015-08-31,-0.019005553011614967,0,XLY,XLF,SHY
2015-09-30,-0.011630359086436254,0,XLY,XLK,SHY
2015-10-31,-0.012545203967646912,0,XLY,XLK,SHY
2015-11-30,-0.010274191769902491,0,XLY,XLK,SHY
2015-12-31,-0.013527385596270675,0,XLK,XLY,SHY
2016-01-31,-0.005382103477400452,0,XLK,XLY,SHY
2016-02-29,0.00875924230415076,1,XLI,XLK,SHY
2016-03-31,0.027690881212315,1,XLK,XLI,SHY
2016-04-30,0.019137702986145644,1,XLI,XLY,SHY
2016-05-31,0.011878366072736402,1,XLK,XLI,SHY
2016-06-30,0.03740283204110256,1,XLE,XLI,SHY
2016-07-31,0.032303056703840205,1,XLK,XLI,SHY
2016-08-31,0.02815612375454235,1,XLK,XLI,SHY
2016-09-30,0.02816330980990328,1,XLK,XLE,SHY
2016-10-31,0.017814298893249564,1,XLK,XLF,SHY
2016-11-30,0.0008894110048139892,1,XLF,XLI,SHY
2016-12-31,0.0009467498571498756,1,XLF,XLE,SHY
2017-01-31,0.005665092265376065,1,XLF,XLI,SHY
2017-02-28,0.010511949171823576,1,XLF,XLK,SHY
2017-03-31,0.0035055275951657305,1,XLF,XLK,SHY
2017-04-30,0.006583772013259909,1,XLK,XLF,SHY
2017-05-31,0.010936280250521874,1,XLK,XLI,SHY
2017-06-30,-0.0032040239878412813,0,XLF,XLK,SHY
2017-07-31,-0.0013683965819880906,0,XLK,XLF,SHY
2017-08-31,0.007748718730003823,1,XLK,XLF,SHY
2017-09-30,-0.001574317742791126,0,XLF,XLK,SHY
2017-10-31,0.001603723217694114,1,XLK,XLF,SHY
2017-11-30,0.00467260884345419,1,XLK,XLF,SHY
2017-12-31,0.017946669269614912,1,XLK,XLF,SHY
2018-01-31,0.00296301433218793,1,XLK,XLY,SHY
2018-02-28,-0.009099589908260042,0,XLK,XLY,SHY
2018-03-31,0.0029595778537939155,1,XLK,XLY,SHY
2018-04-30,-0.00047209279980608976,0,XLE,XLY,SHY
2018-05-31,0.0056473225872221144,1,XLE,XLK,SHY
2018-06-30,0.008657596651725025,1,XLY,XLK,SHY
2018-07-31,0.0029700693632580266,1,XLK,XLY,SHY
2018-08-31,0.0099733001115071,1,XLY,XLK,SHY
2018-09-30,-0.003790839296317988,0,XLY,XLK,SHY
2018-10-31,-0.015487202828345037,0,XLK,XLY,SHY
2018-11-30,-0.009559560747725265,0,XLY,XLF,SHY
2018-12-31,-0.006989519888669998,0,XLY,XLK,SHY
2019-01-31,0.013183394246753855,1,XLY,XLI,SHY
2019-02-28,0.007696876978109196,1,XLI,XLK,SHY
2019-03-31,0.026564116458834164,1,XLK,XLY,SHY
2019-04-30,0.02456017277233552,1,XLK,XLY,SHY
2019-05-31,0.040266903230166184,1,XLK,XLY,SHY
2019-06-30,0.035473559039607416,1,XLK,XLY,SHY
2019-07-31,0.03395759964424733,1,XLK,XLY,SHY
2019-08-31,0.05145365797218826,1,XLK,XLY,SHY
2019-09-30,0.029604205167266584,1,XLK,XLF,SHY
2019-10-31,0.034826464228911475,1,XLK,XLF,SHY
2019-11-30,0.026361260298334327,1,XLK,XLF,SHY
2019-12-31,0.028614895136276075,1,XLK,XLF,SHY
2020-01-31,0.045071436775663165,1,XLK,XLF,SHY
2020-02-29,0.043058430851916074,1,XLK,XLY,SHY
2020-03-31,0.01915079702691394,1,XLK,XLY,SHY
2020-04-30,0.04856226384278295,1,XLK,XLY,SHY
2020-05-31,0.039914810877363205,1,XLK,XLY,SHY
2020-06-30,0.050170370377323914,1,XLK,XLY,SHY
2020-07-31,0.057649585028560046,1,XLK,XLY,SHY
2020-08-31,0.050702933922516846,1,XLK,XLY,SHY
2020-09-30,0.04974957659863502,1,XLK,XLY,SHY
2020-10-31,0.030001740099131202,1,XLK,XLY,SHY
2020-11-30,0.039415009407907375,1,XLK,XLY,SHY
2020-12-31,0.04519762383146875,1,XLK,XLY,SHY
2021-01-31,0.03520167450948336,1,XLK,XLY,SHY
2021-02-28,0.009404287400230388,1,XLE,XLF,SHY
2021-03-31,0.013940603310410332,1,XLE,XLF,SHY
2021-04-30,0.022144505829832933,1,XLF,XLE,SHY
2021-05-31,0.028506480170655157,1,XLF,XLE,SHY
2021-06-30,0.028661689170913163,1,XLE,XLF,SHY
2021-07-31,0.043713793448112326,1,XLF,XLK,SHY
2021-08-31,0.03478858158377496,1,XLF,XLK,SHY
2021-09-30,0.026960012972667008,1,XLE,XLF,SHY
2021-10-31,0.03169238725704815,1,XLE,XLF,SHY
2021-11-30,0.03234796791670641,1,XLE,XLK,SHY
2021-12-31,0.03154735212433474,1,XLK,XLE,SHY
2022-01-31,-0.00076127882941876,0,XLE,XLF,SHY
2022-02-28,0.015714794771165802,1,XLE,XLF,SHY
2022-03-31,-0.003791872272594643,0,XLE,XLK,SHY
2022-04-30,-0.02222541981214607,0,XLE,XLI,SHY
2022-05-31,-0.0331153906482462,0,XLE,XLF,SHY
2022-06-30,-0.05906802375767309,0,XLE,XLI,SHY
2022-07-31,-0.006381416372922832,0,XLE,XLI,SHY
2022-08-31,-0.04290919146806596,0,XLE,XLI,SHY
2022-09-30,-0.08778263356917179,0,XLE,XLY,SHY
2022-10-31,-0.06509858403684277,0,XLE,XLI,SHY
2022-11-30,-0.04464768808933564,0,XLE,XLI,SHY
2022-12-31,-0.037970785706175125,0,XLE,XLI,SHY
2023-01-31,-0.023742757570965417,0,XLE,XLI,SHY
2023-02-28,-0.0420673424165072,0,XLE,XLI,SHY
2023-03-31,0.014425893061974254,1,XLK,XLI,SHY
2023-04-30,0.004052433034275299,1,XLK,XLE,SHY
2023-05-31,-0.006900780472597207,0,XLK,XLY,SHY
2023-06-30,-0.0033224282012596085,0,XLK,XLY,SHY
2023-07-31,-0.01755497729916214,0,XLK,XLY,SHY
2023-08-31,-0.012774949802740215,0,XLK,XLE,SHY
2023-09-30,-0.018708055325365652,0,XLE,XLK,SHY
2023-10-31,-0.02478937686175592,0,XLK,XLE,SHY
2023-11-30,0.004558673808732816,1,XLK,XLY,SHY
2023-12-31,0.03120826154094658,1,XLK,XLY,SHY
2024-01-31,0.0250614638494856,1,XLK,XLF,SHY
2024-02-29,0.011962341554898975,1,XLK,XLI,SHY
2024-03-31,0.012890321158981616,1,XLF,XLK,SHY
2024-04-30,-0.0049017370107780345,0,XLI,XLF,SHY
2024-05-31,0.015642609617449788,1,XLF,XLK,SHY
2024-06-30,0.012006403282507072,1,XLK,XLF,SHY
2024-07-31,0.030999182753432886,1,XLF,XLK,SHY
2024-08-31,0.035170703798367065,1,XLF,XLI,SHY
2024-09-30,0.05022014668132646,1,XLI,XLF,SHY
2024-10-31,0.02919981972694996,1,XLF,XLI,SHY
2024-11-30,0.02501558203941684,1,XLF,XLY,SHY
2024-12-31,-0.005521772740329417,0,XLY,XLF,SHY
2025-01-31,0.011870430774831908,1,XLY,XLF,SHY
2025-02-28,0.02967345502280183,1,XLF,XLY,SHY
2025-03-31,0.030212373270064596,1,XLF,XLE,SHY
2025-04-30,0.035607617643515554,1,XLF,XLI,SHY
2025-05-31,0.017393853867494757,1,XLI,XLF,SHY
2025-06-30,0.02930527702521829,1,XLK,XLI,SHY
2025-07-31,0.018712890066494736,1,XLK,XLI,SHY
2025-08-31,0.029102639239744266,1,XLK,XLY,SHY
2025-09-30,0.02137987018739057,1,XLK,XLY,SHY
2025-10-31,0.028158076386265773,1,XLK,XLY,SHY
2025-11-30,0.025833767230084792,1,XLK,XLY,SHY
2025-12-31,0.020074470809298195,1,XLK,XLI,SHY
