Date,canary_momentum,risk_on,offensive_rank_1,offensive_rank_2,defensive_rank_1,defensive_rank_2
2009-09-30,0.03500516540219356,1,XLF,XLY,XLP,XLV
2009-10-31,0.06980064033091071,1,XLK,XLE,XLP,XLV
2009-11-30,0.08662168886160443,1,XLK,XLY,XLV,XLP
2009-12-31,0.033688980577445266,1,XLK,XLY,XLV,XLU
2010-01-31,0.05176420960412398,1,XLY,XLF,XLV,XLP
2010-02-28,0.03136164729314106,1,XLY,XLF,XLV,XLP
2010-03-31,0.01906776856313236,1,XLI,XLF,XLP,XLV
2010-04-30,0.0428223873168338,1,XLY,XLI,XLP,XLU
2010-05-31,0.02941942460506536,1,XLY,XLI,XLP,XLU
2010-06-30,0.04702676297050745,1,XLI,XLY,SHY,XLP
2010-07-31,0.030769577165062817,1,XLI,XLY,XLU,XLP
2010-08-31,0.05204373242701005,1,XLY,XLI,XLU,XLP
2010-09-30,0.046649717111746425,1,XLY,XLI,XLU,XLP
2010-10-31,0.061318595783951546,1,XLY,XLK,XLP,XLU
2010-11-30,0.0244680865570146,1,XLY,XLE,XLP,XLU
2010-12-31,0.014759690114277663,1,XLE,XLI,XLP,XLV
2011-01-31,0.00904077976035969,1,XLE,XLI,XLP,XLU
2011-02-28,0.019050144579293243,1,XLE,XLI,XLP,XLV
2011-03-31,0.03091969054644922,1,XLE,XLI,XLP,XLV
2011-04-30,0.03930177013597247,1,XLE,XLI,XLV,XLP
2011-05-31,0.038083341392918135,1,XLE,XLI,XLV,XLP
2011-06-30,0.042394837935145535,1,XLE,XLY,XLV,XLU
2011-07-31,0.07547035175119732,1,XLE,XLY,XLV,XLP
2011-08-31,0.06454788600529532,1,XLY,XLE,XLU,XLP
2011-09-30,0.05550467368315676,1,XLK,XLY,XLU,SHY
2011-10-31,0.05421054374966855,1,XLY,XLK,XLU,XLP
2011-11-30,0.056895329536456984,1,XLE,XLK,XLU,XLP
2011-12-31,0.05923746460884333,1,XLY,XLE,XLU,XLP
2012-01-31,0.06735597220013095,1,XLY,XLI,XLV,XLP
2012-02-29,0.05041893779769788,1,XLK,XLY,XLP,XLV
2012-03-31,0.03909769047343084,1,XLK,XLY,XLV,XLP
2012-04-30,0.04211950527882774,1,XLY,XLK,XLP,XLV
2012-05-31,0.05721112507774284,1,XLY,XLK,XLU,XLP
2012-06-30,0.044987900580457485,1,XLK,XLY,XLU,XLP
2012-07-31,0.043851521019865836,1,XLK,XLY,XLU,XLP
2012-08-31,0.03174626987893844,1,XLK,XLY,XLV,XLP
2012-09-30,0.041636650996443425,1,XLY,XLE,XLV,XLP
2012-10-31,0.03222702778462583,1,XLF,XLY,XLV,XLP
2012-11-30,0.03064497164670682,1,XLY,XLF,XLV,XLP
2012-12-31,0.02078405675383843,1,XLF,XLY,XLV,XLP
2013-01-31,0.00567260067625705,1,XLF,XLY,XLV,XLP
2013-02-28,0.009636707402334799,1,XLF,XLY,XLV,XLP
2013-03-31,0.014362623381996953,1,XLF,XLY,XLV,XLP
2013-04-30,0.016946455069467847,1,XLY,XLF,XLV,XLU
2013-05-31,-0.034162464827377476,0,XLF,XLY,XLV,XLP
2013-06-30,-0.05780377182495622,0,XLF,XLY,XLV,XLP
2013-07-31,-0.044467660619306376,0,XLF,XLY,XLV,XLP
2013-08-31,-0.05400833555376541,0,XLY,XLF,XLV,XLP
2013-09-30,-0.024871711579340927,0,XLY,XLI,XLV,XLP
2013-10-31,-0.03149149475039137,0,XLY,XLI,XLV,XLP
2013-11-30,-0.029156632697871027,0,XLY,XLI,XLV,XLP
2013-12-31,-0.03369744110428549,0,XLI,XLY,XLV,XLP
2014-01-31,-0.01156639282958466,0,XLI,XLK,XLV,XLU
2014-02-28,-0.005644925278628143,0,XLY,XLI,XLV,XLU
2014-03-31,-0.013203822768517587,0,XLF,XLI,XLV,XLU
2014-04-30,-0.0068728137826252755,0,XLE,XLI,XLV,XLU
2014-05-31,0.02174292657751331,1,XLE,XLI,XLV,XLU
2014-06-30,0.03564079055045949,1,XLE,XLK,XLU,XLV
2014-07-31,0.022616592560519844,1,XLK,XLE,XLV,XLP
2014-08-31,0.02771604491788232,1,XLK,XLE,XLV,XLU
2014-09-30,-0.004438602703622674,0,XLK,XLF,XLV,XLP
2014-10-31,0.007093581079365224,1,XLK,XLF,XLV,XLU
2014-11-30,0.00270139786307097,1,XLK,XLF,XLV,XLP
2014-12-31,0.001111828107020485,1,XLF,XLK,XLU,XLV
2015-01-31,0.028603345599557684,1,XLY,XLK,XLU,XLV
2015-02-28,0.004340895757106555,1,XLY,XLK,XLV,XLP
2015-03-31,0.013322233357917018,1,XLY,XLK,XLV,XLP
2015-04-30,0.007756250909463136,1,XLY,XLK,XLV,XLP
2015-05-31,-0.006227383880140769,0,XLY,XLK,XLV,XLP
2015-06-30,-0.011009809616686544,0,XLY,XLF,XLV,XLP
2015-07-31,-0.012452224091212466,0,XLY,XLF,XLV,XLP
2015-08-31,-0.019005709893136352,0,XLY,XLF,SHY,XLV
2015-09-30,-0.011630663536910862,0,XLY,XLK,XLU,XLP
2015-10-31,-0.012545110232853374,0,XLY,XLK,XLP,XLV
2015-11-30,-0.010274349497993773,0,XLY,XLK,XLP,XLV
2015-12-31,-0.013527338137342776,0,XLK,XLY,XLP,XLV
2016-01-31,-0.005383050485545882,0,XLK,XLY,XLP,XLU
2016-02-29,0.00875963997490839,1,XLI,XLK,XLU,XLP
2016-03-31,0.027691163031549948,1,XLK,XLI,XLU,XLP
2016-04-30,0.019138102085441033,1,XLI,XLY,XLU,XLP
2016-05-31,0.011878342439665235,1,XLK,XLI,XLU,XLP
2016-06-30,0.03740303796108846,1,XLE,XLI,XLU,XLP
2016-07-31,0.0323026388445391,1,XLK,XLI,XLU,XLV
2016-08-31,0.02815645354390192,1,XLK,XLI,XLP,XLU
2016-09-30,0.02816361480033419,1,XLK,XLE,XLV,XLP
2016-10-31,0.017813917734514878,1,XLK,XLF,XLU,XLP
2016-11-30,0.0008899043690944741,1,XLF,XLI,XLU,SHY
2016-12-31,0.000946464899634375,1,XLF,XLE,XLU,XLP
2017-01-31,0.005665796590959671,1,XLF,XLI,XLU,XLV
2017-02-28,0.010512035401758824,1,XLF,XLK,XLU,XLV
2017-03-31,0.0035057525557998237,1,XLF,XLK,XLV,XLU
2017-04-30,0.006583546434326765,1,XLK,XLF,XLV,XLU
2017-05-31,0.010936454186132538,1,XLK,XLI,XLU,XLP
2017-06-30,-0.0032039543226118072,0,XLF,XLK,XLV,XLU
2017-07-31,-0.0013687766132385593,0,XLK,XLF,XLV,XLU
2017-08-31,0.00774805465979489,1,XLK,XLF,XLV,XLU
2017-09-30,-0.0015749374846397712,0,XLF,XLK,XLV,XLU
2017-10-31,0.0016043861024170603,1,XLK,XLF,XLU,XLV
2017-11-30,0.0046722934692958185,1,XLK,XLF,XLV,XLU
2017-12-31,0.017946712447682978,1,XLK,XLF,XLV,XLP
2018-01-31,0.0029632126432062866,1,XLK,XLY,XLV,XLP
2018-02-28,-0.009099195033462876,0,XLK,XLY,XLV,SHY
2018-03-31,0.0029592882105229368,1,XLK,XLY,XLV,SHY
2018-04-30,-0.00047209268512751756,0,XLE,XLY,XLV,XLU
2018-05-31,0.0056470107530123825,1,XLE,XLK,XLV,SHY
2018-06-30,0.008657484227174744,1,XLY,XLK,XLV,XLU
2018-07-31,0.0029702683737099778,1,XLK,XLY,XLV,XLU
2018-08-31,0.009973186980115956,1,XLY,XLK,XLV,XLU
2018-09-30,-0.0037906412078425045,0,XLY,XLK,XLV,XLP
2018-10-31,-0.015487090417748955,0,XLK,XLY,XLP,XLV
2018-11-30,-0.009559651441742006,0,XLY,XLF,XLV,XLP
2018-12-31,-0.006989212249263327,0,XLY,XLK,SHY,XLU
2019-01-31,0.013183324362319337,1,XLY,XLI,XLU,XLV
2019-02-28,0.007696588499726681,1,XLI,XLK,XLU,XLV
2019-03-31,0.026564225715345446,1,XLK,XLY,XLU,XLP
2019-04-30,0.02455992627852699,1,XLK,XLY,XLU,XLP
2019-05-31,0.04026675456472156,1,XLK,XLY,XLU,XLP
2019-06-30,0.035473725785316435,1,XLK,XLY,XLP,XLU
2019-07-31,0.03395722961704539,1,XLK,XLY,XLP,XLU
2019-08-31,0.051453942940156705,1,XLK,XLY,XLU,XLP
2019-09-30,0.029604374278211887,1,XLK,XLF,XLU,XLP
2019-10-31,0.034826159732706,1,XLK,XLF,XLU,XLV
2019-11-30,0.026361390824123893,1,XLK,XLF,XLV,XLP
2019-12-31,0.028614718536285888,1,XLK,XLF,XLV,XLP
2020-01-31,0.04507118300878071,1,XLK,XLF,XLU,XLP
2020-02-29,0.04305862165500729,1,XLK,XLY,SHY,XLU
2020-03-31,0.019150445254658005,1,XLK,XLY,SHY,XLV
2020-04-30,0.04856282452397892,1,XLK,XLY,XLV,SHY
2020-05-31,0.039914941839688856,1,XLK,XLY,XLV,XLP
2020-06-30,0.050170187429936564,1,XLK,XLY,XLV,SHY
2020-07-31,0.05765009513907077,1,XLK,XLY,XLV,XLP
2020-08-31,0.05070251994942909,1,XLK,XLY,XLV,XLP
2020-09-30,0.049749669505744665,1,XLK,XLY,XLV,XLP
2020-10-31,0.03000194283075494,1,XLK,XLY,XLU,XLP
2020-11-30,0.039415025974465834,1,XLK,XLY,XLP,XLV
2020-12-31,0.04519733704883794,1,XLK,XLY,XLV,XLP
2021-01-31,0.03520135724037998,1,XLK,XLY,XLV,XLP
2021-02-28,0.009404375974597784,1,XLE,XLF,XLV,XLP
2021-03-31,0.013940588852593139,1,XLE,XLF,XLV,XLP
2021-04-30,0.02214423035970567,1,XLF,XLE,XLV,XLP
2021-05-31,0.028506325310964753,1,XLF,XLE,XLV,XLP
2021-06-30,0.028661730919246786,1,XLE,XLF,XLV,XLP
2021-07-31,0.04371393875718771,1,XLF,XLK,XLV,XLP
2021-08-31,0.03478917402838508,1,XLF,XLK,XLV,XLU
2021-09-30,0.026959892855773715,1,XLE,XLF,XLV,XLU
2021-10-31,0.031692219305993086,1,XLE,XLF,XLV,XLP
2021-11-30,0.032348330286726124,1,XLE,XLK,XLV,XLU
2021-12-31,0.03154723673851706,1,XLK,XLE,XLV,XLU
2022-01-31,-0.0007612224791942457,0,XLE,XLF,XLP,XLU
2022-02-28,0.01571465579335965,1,XLE,XLF,XLP,XLU
2022-03-31,-0.0037919424039161154,0,XLE,XLK,XLU,XLV
2022-04-30,-0.0222253496933473,0,XLE,XLI,XLP,XLU
2022-05-31,-0.033115380350154516,0,XLE,XLF,XLU,XLV
2022-06-30,-0.05906758098941056,0,XLE,XLI,XLU,XLP
2022-07-31,-0.006381497756037718,0,XLE,XLI,XLU,XLV
2022-08-31,-0.04290955955248171,0,XLE,XLI,XLU,XLP
2022-09-30,-0.08778247591116964,0,XLE,XLY,SHY,XLV
2022-10-31,-0.06509850225873559,0,XLE,XLI,XLV,XLP
2022-11-30,-0.04464784017095841,0,XLE,XLI,XLV,XLP
2022-12-31,-0.037970869541689684,0,XLE,XLI,XLV,XLP
2023-01-31,-0.02374276177841697,0,XLE,XLI,XLV,XLP
2023-02-28,-0.04206713317769925,0,XLE,XLI,SHY,XLP
2023-03-31,0.014425765547000952,1,XLK,XLI,XLP,SHY
2023-04-30,0.00405237203896841,1,XLK,XLE,XLP,XLV
2023-05-31,-0.006900799628177301,0,XLK,XLY,SHY,XLP
2023-06-30,-0.00332265900290174,0,XLK,XLY,XLV,XLP
2023-07-31,-0.017554919430104426,0,XLK,XLY,XLP,XLV
2023-08-31,-0.012774624864095585,0,XLK,XLE,XLV,SHY
2023-09-30,-0.01870827415810636,0,XLE,XLK,SHY,XLV
2023-10-31,-0.024789260024198595,0,XLK,XLE,SHY,XLV
2023-11-30,0.004558672940747216,1,XLK,XLY,SHY,XLV
2023-12-31,0.03120832291509662,1,XLK,XLY,XLV,SHY
2024-01-31,0.02506128604636959,1,XLK,XLF,XLV,SHY
2024-02-29,0.011962160974498093,1,XLK,XLI,XLV,XLP
2024-03-31,0.012890246312781378,1,XLF,XLK,XLV,XLP
2024-04-30,-0.004901663937025208,0,XLI,XLF,XLU,XLP
2024-05-31,0.015642142099440592,1,XLF,XLK,XLU,XLP
2024-06-30,0.012006982357799734,1,XLK,XLF,XLV,XLU
2024-07-31,0.030999048003335916,1,XLF,XLK,XLU,XLV
2024-08-31,0.03517077827621118,1,XLF,XLI,XLU,XLV
2024-09-30,0.05022020857238341,1,XLI,XLF,XLU,XLP
2024-10-31,0.02919956891689493,1,XLF,XLI,XLU,XLP
2024-11-30,0.02501573623032144,1,XLF,XLY,XLU,XLP
2024-12-31,-0.005522036213653131,0,XLY,XLF,XLU,SHY
2025-01-31,0.011870658063297568,1,XLY,XLF,XLU,XLP
2025-02-28,0.02967360633273114,1,XLF,XLY,XLU,XLP
2025-03-31,0.030212398111372052,1,XLF,XLE,XLU,XLP
2025-04-30,0.03560773081653307,1,XLF,XLI,XLU,XLP
2025-05-31,0.01739384678611111,1,XLI,XLF,XLU,XLP
2025-06-30,0.02930516032116043,1,XLK,XLI,XLU,XLP
2025-07-31,0.018712963473739574,1,XLK,XLI,XLU,SHY
2025-08-31,0.02910267508327613,1,XLK,XLY,XLU,SHY
2025-09-30,0.02137985184880936,1,XLK,XLY,XLU,SHY
2025-10-31,0.02815809854607032,1,XLK,XLY,XLU,XLV
2025-11-30,0.025833768162566717,1,XLK,XLY,XLV,XLU
2025-12-31,0.020074529378417194,1,XLK,XLI,XLV,XLU
