coefficient,estimate,standard_error,t_stat,strategy,model
SIZE_IJR_MINUS_SPY,-0.2106420337734092,0.1693809096153648,-1.243599613744792,Sector Top-1 Net,style_proxy
MID_MDY_MINUS_SPY,0.41011320822134517,0.23948072974010232,1.7125102661346598,Sector Top-1 Net,style_proxy
TIP_MINUS_SHY,-0.4966193990771961,0.18727128879563545,-2.651871529645661,Sector Top-1 Net,style_proxy
alpha,0.0027850577013674794,0.0025237937582468684,1.1035203222398393,Sector Top-1 Net,sector_proxy
MKT_SPY,0.8502246960539768,0.0856850849374731,9.922668532970592,Sector Top-1 Net,sector_proxy
OFFENSIVE_SECTORS_MINUS_SPY,0.17477653614752783,0.20846903068830747,0.8383812961112915,Sector Top-1 Net,sector_proxy
DEFENSIVE_SECTORS_MINUS_SPY,0.028143355586022104,0.13427841616575034,0.20958957060740543,Sector Top-1 Net,sector_proxy
TIP_MINUS_SHY,-0.40685359507592445,0.1883326346474202,-2.1602925899571255,Sector Top-1 Net,sector_proxy
alpha,0.0021429329135291856,0.0016731392085164948,1.2807857843635366,Sector Top-2 Net,market_only
MKT_SPY,0.8923987096090118,0.038306729555668724,23.296134124740295,Sector Top-2 Net,market_only
alpha,0.004259554981389312,0.0017702259580210495,2.4062210601357945,Sector Top-2 Net,market_and_defensive
MKT_SPY,0.8789958583804175,0.03784418052085431,23.22671138026203,Sector Top-2 Net,market_and_defensive
SHY,-1.21177677805431,0.3774877725312519,-3.210108687570769,Sector Top-2 Net,market_and_defensive
alpha,0.002378089430581514,0.0016357620577977414,1.4538113408640756,Sector Top-2 Net,style_proxy
MKT_SPY,0.9340782662020418,0.0417074126345774,22.39597729032098,Sector Top-2 Net,style_proxy
SIZE_IJR_MINUS_SPY,0.0029787950072894523,0.11096940103462777,0.02684339087637254,Sector Top-2 Net,style_proxy
MID_MDY_MINUS_SPY,0.13864292516787063,0.15689509047354921,0.883666434363313,Sector Top-2 Net,style_proxy
TIP_MINUS_SHY,-0.4414559971770185,0.12269022994282794,-3.5981348912845896,Sector Top-2 Net,style_proxy
alpha,0.002285503332838324,0.0016064566501767005,1.422698416783878,Sector Top-2 Net,sector_proxy
MKT_SPY,0.9422188855680664,0.05454065890644568,17.275531767672025,Sector Top-2 Net,sector_proxy
OFFENSIVE_SECTORS_MINUS_SPY,0.5152344785371845,0.1326956529672041,3.882828615829076,Sector Top-2 Net,sector_proxy
DEFENSIVE_SECTORS_MINUS_SPY,0.1693724488000511,0.08547150650475774,1.9816247042588753,Sector Top-2 Net,sector_proxy
TIP_MINUS_SHY,-0.43668868031308006,0.1198783428265587,-3.642765407133514,Sector Top-2 Net,sector_proxy
alpha,0.003966572998530644,0.0019842973678178438,1.998981131992698,Sector Top-2 SHY Net,market_only
MKT_SPY,0.6937974436520521,0.04543073417926782,15.271543728841266,Sector Top-2 SHY Net,market_only
alpha,0.007066357481644521,0.002076513714197672,3.4029910004109154,Sector Top-2 SHY Net,market_and_defensive
MKT_SPY,0.6741690220747025,0.044392050347050634,15.186706106254308,Sector Top-2 SHY Net,market_and_defensive
SHY,-1.7746422049770956,0.44280140230197385,-4.007761031810953,Sector Top-2 SHY Net,market_and_defensive
alpha,0.0043373269898562185,0.0018872483197645788,2.2982280309552854,Sector Top-2 SHY Net,style_proxy
MKT_SPY,0.762685215312018,0.048119617423029115,15.849777204317748,Sector Top-2 SHY Net,style_proxy
SIZE_IJR_MINUS_SPY,-0.05457113278106756,0.12803012189305724,-0.42623666973191265,Sector Top-2 SHY Net,style_proxy
MID_MDY_MINUS_SPY,0.2947277739816461,0.18101654483547722,1.6281814142984503,Sector Top-2 SHY Net,style_proxy
TIP_MINUS_SHY,-0.718435540670368,0.14155294115506506,-5.075384056367668,Sector Top-2 SHY Net,style_proxy
alpha,0.0046534101291112765,0.0018477516260085945,2.5184175533176516,Sector Top-2 SHY Net,sector_proxy
MKT_SPY,0.6854234844726127,0.06273284197670707,10.926070984112481,Sector Top-2 SHY Net,sector_proxy
OFFENSIVE_SECTORS_MINUS_SPY,0.6407163780702185,0.15262696849457733,4.197923763997072,Sector Top-2 SHY Net,sector_proxy
DEFENSIVE_SECTORS_MINUS_SPY,0.021305770317972133,0.09830960275473286,0.21672115155552718,Sector Top-2 SHY Net,sector_proxy
TIP_MINUS_SHY,-0.6060698672088779,0.13788445698589208,-4.395490836729256,Sector Top-2 SHY Net,sector_proxy
alpha,-0.0002246068322550557,0.0002480711031318686,-0.9054131231708199,VTI Buy and Hold,market_only
MKT_SPY,1.0301597492850016,0.0056796186532946285,181.37833051298742,VTI Buy and Hold,market_only
alpha,1.1716139015040389e-06,0.0002650728637395448,0.004419969230253772,VTI Buy and Hold,market_and_defensive
MKT_SPY,1.0287300774647894,0.005666771104042226,181.5372561512101,VTI Buy and Hold,market_and_defensive
SHY,-0.12925929583372145,0.05652485460295741,-2.28676918749577,VTI Buy and Hold,market_and_defensive
alpha,4.690603279512673e-05,0.00013848787084259925,0.3387013787542346,VTI Buy and Hold,style_proxy
MKT_SPY,1.0107167007811388,0.0035310580451368644,286.2362181140422,VTI Buy and Hold,style_proxy
SIZE_IJR_MINUS_SPY,0.06282765633853737,0.009394958150975978,6.687380116963122,VTI Buy and Hold,style_proxy
MID_MDY_MINUS_SPY,0.08268758470816269,0.013283146483169889,6.224999838173141,VTI Buy and Hold,style_proxy
TIP_MINUS_SHY,0.003891811010528101,0.010387274015174692,0.37467106430836267,VTI Buy and Hold,style_proxy
alpha,-3.9043403970447506e-05,0.00022874601419442645,-0.17068452146782293,VTI Buy and Hold,sector_proxy
MKT_SPY,1.0018090534237172,0.0077661344518788695,128.99712973438778,VTI Buy and Hold,sector_proxy
OFFENSIVE_SECTORS_MINUS_SPY,0.10839768778318112,0.01889475306653064,5.736920054022414,VTI Buy and Hold,sector_proxy
DEFENSIVE_SECTORS_MINUS_SPY,-0.021983795935034554,0.012170428898909786,-1.8063287758908677,VTI Buy and Hold,sector_proxy
TIP_MINUS_SHY,0.021629625831951247,0.017069675118088056,1.26713752208624,VTI Buy and Hold,sector_proxy
alpha,-8.770921768137838e-18,2.6388082275445674e-18,-3.3238193198674586,SPY Buy and Hold,market_only
MKT_SPY,0.9999999999999991,6.041584143584232e-17,1.6551950220902474e+16,SPY Buy and Hold,market_only
alpha,-1.741288338594121e-17,2.9402080978731716e-18,-5.922330259051049,SPY Buy and Hold,market_and_defensive
MKT_SPY,0.9999999999999996,6.285625036770977e-17,1.5909316800636186e+16,SPY Buy and Hold,market_and_defensive
SHY,1.7872350141962966e-16,6.269779293516015e-16,0.28505549087582593,SPY Buy and Hold,market_and_defensive
alpha,-1.793610764564464e-17,3.4480806907534437e-18,-5.2017656355151605,SPY Buy and Hold,style_proxy
MKT_SPY,1.0,8.791653008518088e-17,1.1374425253488922e+16,SPY Buy and Hold,style_proxy
SIZE_IJR_MINUS_SPY,-4.652032021280593e-16,2.339163249006518e-16,-1.9887590245171602,SPY Buy and Hold,style_proxy
MID_MDY_MINUS_SPY,-1.0153547550082434e-16,3.307247098420909e-16,-0.3070090394797046,SPY Buy and Hold,style_proxy
TIP_MINUS_SHY,7.523981978240257e-16,2.586230746662017e-16,2.909246202393685,SPY Buy and Hold,style_proxy
alpha,-1.6029169324927936e-17,2.6470896487119884e-18,-6.055393451720591,SPY Buy and Hold,sector_proxy
MKT_SPY,0.9999999999999993,8.987109213890298e-17,1.1127048489122832e+16,SPY Buy and Hold,sector_proxy
OFFENSIVE_SECTORS_MINUS_SPY,4.987741752788556e-16,2.1865345034982923e-16,2.281117331928008,SPY Buy and Hold,sector_proxy
DEFENSIVE_SECTORS_MINUS_SPY,-6.15244789694722e-17,1.4083837251610702e-16,-0.43684457488626505,SPY Buy and Hold,sector_proxy
TIP_MINUS_SHY,6.739759339927549e-16,1.9753332302245836e-16,3.4119606944299106,SPY Buy and Hold,sector_proxy
